LayerID,LayerDescription,ElementID,ElementDescription
Layer 1,Vegetation Desired Future Condition Area,B,Bitterroot Mtns. (M333D) Breaklands
Layer 1,Vegetation Desired Future Condition Area,U,Bitterroot Mtns. (M333D) Uplands
Layer 1,Vegetation Desired Future Condition Area,S,Bitterroot Mtns. (M333D) Subalpine
Layer 1,Vegetation Desired Future Condition Area,K,Idaho Batholith (M332A) Breaklands
Layer 1,Vegetation Desired Future Condition Area,R,Idaho Batholith (M332A) Uplands
Layer 1,Vegetation Desired Future Condition Area,C,Idaho Batholith (M332A) Subalpine
Layer 2,Roadless Status,R,Roadless and undeveloped
Layer 2,Roadless Status,N,Roaded and developed
Layer 3,Timber Suitability,N,Not Available or Not Suited; No Timber Harvest Allowed
Layer 3,Timber Suitability,O,Generally Suitable for Timber Harvest for other resource objectives; No scheduled output
Layer 3,Timber Suitability,P,Generally Suitable for Timber Harvest for other resource objectives; Scheduled output
Layer 3,Timber Suitability,S,Suited for Timber Production
Layer 4,Resource Condition Zone,L,Lynx habitat - conserve watershed
Layer 4,Resource Condition Zone,H,Lynx habitat - restore watershed
Layer 4,Resource Condition Zone,C,Non-Lynx habitat - conserve watershed
Layer 4,Resource Condition Zone,R,Non-Lynx habitat - restore watershed
Layer 5,Vegetation Cover Type,P,WDI or DIP where the indicator tree species is Ponderosa Pine
Layer 5,Vegetation Cover Type,D,WDT or DTD where the indicator tree species is Dry Douglas-fir/Grand Fir
Layer 5,Vegetation Cover Type,W,MI or MIW where the indicator tree species is Mesic Douglas-fir mix
Layer 5,Vegetation Cover Type,C,MT or MTC where the indicator tree species is Grand Fir/Western Red Cedar
Layer 5,Vegetation Cover Type,I,SI or SII where the indicator tree species is Cold Douglas-fir mix
Layer 5,Vegetation Cover Type,A,ST or STA where the indicator tree species is Subalpine Fir mix
Layer 5,Vegetation Cover Type,L,LP or LPP where the indicator tree species is Lodgepole Pine
Layer 5,Vegetation Cover Type,N,NS NonStocked
Layer 6,Size Class,S,Seedling and Sapling (0" - 5")
Layer 6,Size Class,P,Small (5" - 10")
Layer 6,Size Class,M,Medium (10" - 15")
Layer 6,Size Class,L,Large (15"+)
Layer 6,Size Class,N,NonStocked