Strata, Stand Type/Rx/Timing Choice Label
Proj_Year, Projection Cycle Year
St_Age/10, Stand Age/10 years
Stand_Age, Stand Age
StDnIndex, Stand Density Index
CulmMAI-A, Culmination Mean Annual Increment - Merchantable Cubic Feet, All Trees
Qd_Mn_Dia, Quadratic Mean Diameter
Plt_Acres, Plot Acres (Count)
Trt_Acres, Treatment Acres (Count)


LTr.AllSx, Live/Trees per Acre/All Species/All Size Classes	
LAD.AllSx, Live/Average DBH/All Species/All Size Classes
LAH.AllSx, Live/Average Height/All Species/All Size Classes		
LBA.AllSx, Live/Basal Area per Acre/All Species/All Size Classes		
LCA.AllSx, Live/Cubic Feet per Acre/All Species/All Size Classes, All Trees - Cubic Top		
LBd.AllSx, Live/Board Feet per Acre/All Species/All Size Classes		
HTr.AllSx, Harvest/Trees per Acre/All Species/All Size Classes
HAD.AllSx, Harvest/Average DBH/All Species/All Size Classes		
HAH.AllSx, Harvest/Average Height/All Species/All Size Classes		
HBA.AllSx, Harvest/Basal Area per Acre/All Species/All Size Classes		
HCA.AllSx, Harvest/Cubic Feet per Acre/All Species/All Size Classes, All Trees - Cubic Top		
HBd.AllSx, Harvest/Board Feet per Acre/All Species/All Size Classes		


LTr.Gp1Xx, Live/Trees per Acre/All Species/Mature Size Classes		
LAD.Gp1Xx, Live/Average DBH/All Species/Mature Size Classes		
LAH.Gp1Xx, Live/Average Height/All Species/Mature Size Classes		
LBA.Gp1Xx, Live/Basal Area per Acre/All Species/Mature Size Classes		
LCA.Gp1Xx, Live/Cubic Feet per Acre/All Species/Mature Size Classes, All Trees - Cubic Top		
LBd.Gp1Xx, Live/Board Feet per Acre/All Species/Mature Size Classes
HTr.Gp1Xx, Harvest/Trees per Acre/All Species/Mature Size Classes	
HAD.Gp1Xx, Harvest/Average DBH/All Species/Mature Size Classes		
HAH.Gp1Xx, Harvest/Average Height/All Species/Mature Size Classes		
HBA.Gp1Xx, Harvest/Basal Area per Acre/All Species/Mature Size Classes		
HCA.Gp1Xx, Harvest/Cubic Feet per Acre/All Species/Mature Size Classes, All Trees - Cubic Top		
HBd.Gp1Xx, Harvest/Board Feet per Acre/All Species/Mature Size Classes		
				

LTr.Gp2Mm, Live/Trees per Acre/All Species/Mid-Age Size Classes		
LAD.Gp2Mm, Live/Average DBH/All Species/Mid-Age Size Classes		
LAH.Gp2Mm, Live/Average Height/All Species/Mid-Age Size Classes
LBA.Gp2Mm, Live/Basal Area per Acre/All Species/Mid-Age Size Classes		
LCA.Gp2Mm, Live/Cubic Feet per Acre/All Species/Mid-Age Size Classes, All Trees - Cubic Top		
LBd.Gp2Mm, Live/Board Feet per Acre/All Species/Mid-Age Size Classes		
HTr.Gp2Mm, Harvest/Trees per Acre/All Species/Mid-Age Size Classes
HAD.Gp2Mm, Harvest/Average DBH/All Species/Mid-Age Size Classes		
HAH.Gp2Mm, Harvest/Average Height/All Species/Mid-Age Size Classes		
HBA.Gp2Mm, Harvest/Basal Area per Acre/All Species/Mid-Age Size Classes		
HCA.Gp2Mm, Harvest/Cubic Feet per Acre/All Species/Mid-Age Size Classes, All Trees - Cubic Top		
HBd.Gp2Mm, Harvest/Board Feet per Acre/All Species/Mid-Age Size Classes		


LTr.Gp3Yy, Live/Trees per Acre/All Species/Young Size Size Classes		
LAD.Gp3Yy, Live/Average DBH/All Species/Young Size Size Classes		
LAH.Gp3Yy, Live/Average Height/All Species/Young Size Size Classes		
LBA.Gp3Yy, Live/Basal Area per Acre/All Species/Young Size Size Classes		
LCA.Gp3Yy, Live/Cubic Feet per Acre/All Species/Young Size Size Classes, All Trees - Cubic Top		
LBd.Gp3Yy, Live/Board Feet per Acre/All Species/Young Size Size Classes		
HTr.Gp3Yy, Harvest/Trees per Acre/All Species/Young Size Size Classes
HAD.Gp3Yy, Harvest/Average DBH/All Species/Young Size Size Classes		
HAH.Gp3Yy, Harvest/Average Height/All Species/Young Size Size Classes
HBA.Gp3Yy, Harvest/Basal Area per Acre/All Species/Young Size Size Classes		
HCA.Gp3Yy, Harvest/Cubic Feet per Acre/All Species/Young Size Size Classes, All Trees - Cubic Top		
HBd.Gp3Yy, Harvest/Board Feet per Acre/All Species/Young Size Size Classes		


LTr.Gp4Ss, Live/Trees per Acre/All Species/Sapling Size Classes
LAD.Gp4Ss, Live/Average DBH/All Species/Sapling Size Classes
LAH.Gp4Ss, Live/Average Height/All Species/Sapling Size Classes
LBA.Gp4Ss, Live/Basal Area per Acre/All Species/Sapling Size Classes
LCA.Gp4Ss, Live/Cubic Feet per Acre/All Species/Sapling Size Classes, All Trees - Cubic Top
LBd.Gp4Ss, Live/Board Feet per Acre/All Species/Sapling Size Classes
HTr.Gp4Ss, Harvest/Trees per Acre/All Species/Sapling Size Classes
HAD.Gp4Ss, Harvest/Average DBH/All Species/Sapling Size Classes
HAH.Gp4Ss, Harvest/Average Height/All Species/Sapling Size Classes
HBA.Gp4Ss, Harvest/Basal Area per Acre/All Species/Sapling Size Classes
HCA.Gp4Ss, Harvest/Cubic Feet per Acre/All Species/Sapling Size Classes, All Trees - Cubic Top
HBd.Gp4Ss, Harvest/Board Feet per Acre/All Species/Sapling Size Classes


PCA.AllSx, Proportion Cut/Cubic Feet per Acre/All Species/All Size Classes, All Trees - Cubic Top		
PBd.AllSx, Proportion Cut/Board Feet per Acre/All Species/All Size Classes
PCA.Gp1Xx, Proportion Cut/Cubic Feet per Acre/All Species/Mature Size Classes, All Trees - Cubic Top		
PBd.Gp1Xx, Proportion Cut/Board Feet per Acre/All Species/Mature Size Classes			
PCA.Gp2Mm, Proportion Cut/Cubic Feet per Acre/All Species/Mid-Age Size Classes, All Trees - Cubic Top		
PBd.Gp2Mm, Proportion Cut/Board Feet per Acre/All Species/Mid-Age Size Classes		
PCA.Gp3Yy, Proportion Cut/Cubic Feet per Acre/All Species/Young Size Size Classes, All Trees - Cubic Top		
PBd.Gp3Yy, Proportion Cut/Board Feet per Acre/All Species/Young Size Size Classes			
PCA.Gp4Ss, Proportion Cut/Cubic Feet per Acre/All Species/Sapling Size Classes, All Trees - Cubic Top
PBd.Gp4Ss, Proportion Cut/Board Feet per Acre/All Species/Sapling Size Classes


_STNDAGE0, Stand Age
_AGEINT0, Stand Age Interval - 10 years
_CC00P, Canopy Cover 0" plus
_CC10P, Canopy Cover 10" plus
_CC15P, Canopy Cover 15" plus
_CC20P, Canopy Cover 20" plus		
_LYNX, Lynx Habitat


_CRBD, Crown Bulk Density
_TRIDX, Torching Index - Severe Fire
_CRIDX, Crowning Index - Severe Fire
_FIRE, Fire Hazard Rating - Torching x Crowning Index Matrix
_SNAG10T, Snags 10" - 20"
_SNAG20P, Snags 20" plus


_ESBTL, Spruce Beetle
_DFBTL, Douglas-fir Beetle
_PPBTL, Ponderosa Pine (MPB/WPB)
_WPBTL, Western White Pine (MPB)
_LPBTL, Lodgepole Pine (MPB)
_HZBTL, Composite Beetle Hazard
_BDWTSM, W. Spruce Budworm/DF Tussock Moth


DOM_GRP, Dominance Group (a.k.a. Cover Type)
SIZ_NTG, Size Class (National Technical Guide standards)
_STNDAGE1, Stand Age
_AGEINT1, Stand Age Interval - 10 years





_FIRE 0, Undefined (Canopy fuels so sparse. CBH undefined. CI&TI = -1)
_FIRE 1, Low
_FIRE 2, Moderate
_FIRE 3, High
_FIRE 4, Very High
_FIRE 5, Extreme


_ESBTL 0, No Host
_ESBTL 1, Low
_ESBTL 2, Moderate
_ESBTL 3, High


_DFBTL 0, No Host
_DFBTL 1, Low
_DFBTL 2, Moderate
_DFBTL 3, High


_PPBTL 0, No Host
_PPBTL 1, Low
_PPBTL 2, Moderate
_PPBTL 3, High


_WPBTL 0, No Host
_WPBTL 1, Low
_WPBTL 2, Moderate
_WPBTL 3, High


_LPBTL 0, No Host
_LPBTL 1, Low
_LPBTL 2, Moderate
_LPBTL 3, High


_HZBTL 0.00, No Host
_HZBTL 1.00, Low
_HZBTL 2.00, Moderate
_HZBTL 3.00, High


_BDWTSM 0.00, No Host
_BDWTSM 1.00, Low
_BDWTSM 2.00, Moderate
_BDWTSM 3.00, High


DOM_GRP 201.00, Douglas Fir
DOM_GRP 221.00, Ponderosa Pine
DOM_GRP 241.00, Western White Pine
DOM_GRP 265.00, Engelmann Spruce
DOM_GRP 266.00, Engelmann Spruce-Subalpine Fir
DOM_GRP 267.00, Grand Fir
DOM_GRP 268.00, Subalpine Fir
DOM_GRP 270.00, Mountain Hemlock
DOM_GRP 281.00, Lodgepole Pine
DOM_GRP 301.00, Western Hemlock
DOM_GRP 304.00, Western Redcedar
DOM_GRP 321.00, Western Larch
DOM_GRP 367.00, Whitebrak Pine
DOM_GRP 999.00, Nonstocked


SIZ_NTG 12.00, Large (15"+)
SIZ_NTG 13.00, Medium (10" - 15")
SIZ_NTG 20.00, Small (5" - 10")
SIZ_NTG 30.00, Seedling and Sapling (0" - 5")
SIZ_NTG 50.00, NonStocked
